"año","vozAcoun","conCor"
1996,0.39190337061882,-0.101317152380943
1997,0.350376799702645,-0.152399376034736
1998,0.308850228786469,-0.20348159968853
1999,0.363598600029945,-0.187944628298283
2000,0.418346971273422,-0.172407656908035
2001,0.383736118674278,-0.32619222998619
2002,0.260062754154205,-0.417055726051331
2003,0.349125266075134,-0.479976803064346
2004,0.362040877342224,-0.414409548044205
2005,0.269231617450714,-0.377738356590271
2006,0.403436541557312,-0.33123853802681
2007,0.448621332645416,-0.372122079133987
2008,0.358895927667618,-0.434875011444092
2009,0.280091494321823,-0.445475101470947
2010,0.361670136451721,-0.355230033397675
2011,0.344941824674606,-0.364098519086838
2012,0.295209914445877,-0.445909202098846
2013,0.276933550834656,-0.434306710958481
2014,0.34527176618576,-0.549791395664215
2015,0.411758154630661,-0.581265270709991
2016,0.49326366186142,-0.299235552549362
2017,0.528708100318909,-0.309002459049225
2018,0.539252579212189,-0.0992739275097847
2019,0.570874631404877,-0.107116244733334
2020,0.584501206874847,-0.163570061326027
2021,0.610777020454407,-0.422596842050552
2022,0.546316981315613,-0.447221606969833
2023,0.533921837806702,-0.360883951187134
